test_case,seed,model,angle_deg,target_cos,hit_rank,hit_name,hit_sim,hit_is_target
chicken + Japanese,chicken,cooc,0,1.0,1,garlic,0.3934,False
chicken + Japanese,chicken,cooc,0,1.0,2,onion,0.3662,False
chicken + Japanese,chicken,cooc,0,1.0,3,black_pepper,0.3581,False
chicken + Japanese,chicken,cooc,0,1.0,4,turkey,0.348,False
chicken + Japanese,chicken,cooc,0,1.0,5,carrot,0.3425,False
chicken + Japanese,chicken,cooc,30,0.866025,1,mentsuyu,0.4334,True
chicken + Japanese,chicken,cooc,30,0.866025,2,bonito_flakes,0.3772,True
chicken + Japanese,chicken,cooc,30,0.866025,3,udon_noodle,0.3733,True
chicken + Japanese,chicken,cooc,30,0.866025,4,shichimi_togarashi,0.3662,True
chicken + Japanese,chicken,cooc,30,0.866025,5,carrot,0.3612,False
chicken + Japanese,chicken,cooc,60,0.5,1,mentsuyu,0.5233,True
chicken + Japanese,chicken,cooc,60,0.5,2,dashi,0.4775,True
chicken + Japanese,chicken,cooc,60,0.5,3,bonito_flakes,0.466,True
chicken + Japanese,chicken,cooc,60,0.5,4,burdock_root,0.4409,True
chicken + Japanese,chicken,cooc,60,0.5,5,mirin,0.4404,True
beef + East_Asian,beef,cooc,0,1.0,1,onion,0.414,False
beef + East_Asian,beef,cooc,0,1.0,2,pork,0.3698,False
beef + East_Asian,beef,cooc,0,1.0,3,black_pepper,0.354,False
beef + East_Asian,beef,cooc,0,1.0,4,garlic,0.3517,False
beef + East_Asian,beef,cooc,0,1.0,5,potato,0.3196,False
beef + East_Asian,beef,cooc,30,0.866025,1,pork,0.4518,False
beef + East_Asian,beef,cooc,30,0.866025,2,shiitake_mushroom,0.4125,True
beef + East_Asian,beef,cooc,30,0.866025,3,dark_soy_sauce,0.3889,True
beef + East_Asian,beef,cooc,30,0.866025,4,blood_tofu,0.3883,True
beef + East_Asian,beef,cooc,30,0.866025,5,braising_liquid,0.3774,False
beef + East_Asian,beef,cooc,60,0.5,1,shaoxing_wine,0.4765,True
beef + East_Asian,beef,cooc,60,0.5,2,shiitake_mushroom,0.4742,True
beef + East_Asian,beef,cooc,60,0.5,3,light_soy_sauce,0.4729,True
beef + East_Asian,beef,cooc,60,0.5,4,yu_choy,0.4677,True
beef + East_Asian,beef,cooc,60,0.5,5,mala_sauce,0.4568,True
salmon + Mediterranean,salmon,cooc,0,1.0,1,wasabi,0.3483,False
salmon + Mediterranean,salmon,cooc,0,1.0,2,avocado,0.3245,False
salmon + Mediterranean,salmon,cooc,0,1.0,3,ponzu,0.3189,False
